feat	count	weight	rel_role	group_name
obl<acl<xcomp< ...	1.0	0.298	adaptation_comment	Chordate__phylum
obl<acl<mark> ...	1.0	0.204	adaptation_comment	Chordate__phylum
obl<advcl>obl> ...	1.0	0.224	adaptation_comment	Chordate__phylum
obl<advcl> ...	1.0	0.379	adaptation_comment	Chordate__phylum
obj<advcl<nsubj> ...	1.0	0.158	adaptation_comment	Chordate__phylum
obl:npmod<amod< ...	1.0	0.658	adaptation_comment	Chordate__phylum
acl:relcl<det> ...	1.0	0.34	adaptation_comment	Chordate__phylum
advcl>obj>compound> ...	1.0	0.212	adaptation_comment	Chordate__phylum
nmod<nmod<nmod< ...	1.0	0.219	adaptation_comment	Chordate__phylum
nmod<nmod<case> ...	1.0	0.58	adaptation_comment	Chordate__phylum
case>fixed> ...	1.0	0.312	adaptation_comment	Chordate__phylum
obj<advcl<cop> ...	1.0	0.238	adaptation_comment	Chordate__phylum
obl<advcl>mark> ...	1.0	0.511	adaptation_comment	Chordate__phylum
obj<advcl<amod> ...	1.0	0.464	adaptation_comment	Chordate__phylum
obj<advcl< ...	1.0	0.287	adaptation_comment	Chordate__phylum
obj<advcl<nmod> ...	1.0	0.426	adaptation_comment	Chordate__phylum
obj<mark> ...	1.0	0.59	adaptation_comment	Chordate__phylum
obj<conj>cc> ...	1.0	0.278	adaptation_comment	Chordate__phylum
obj<conj>det> ...	1.0	0.283	adaptation_comment	Chordate__phylum
obj<conj>compound> ...	1.0	0.231	adaptation_comment	Chordate__phylum
obj<conj> ...	1.0	0.245	adaptation_comment	Chordate__phylum
obj<conj>conj> ...	1.0	0.423	adaptation_comment	Chordate__phylum
obl<nsubj>nmod:poss> ...	1.0	0.389	adaptation_comment	Chordate__phylum
nsubj>nmod>case> such	1.0	0.429	adaptation_comment	Chordate__phylum
nsubj>nmod>case> of	1.0	0.548	adaptation_comment	Chordate__phylum
nmod>amod> great	1.0	0.343	adaptation_comment	Chordate__phylum
conj>det> the	1.0	0.715	adaptation_comment	Chordate__phylum
conj>compound> tiger	1.0	0.317	adaptation_comment	Chordate__phylum
nmod< one	1.0	0.462	adaptation_comment	Chordate__phylum
amod> great	1.0	1.097	adaptation_comment	Chordate__phylum
nmod<appos>det> the	1.0	0.477	adaptation_comment	Chordate__phylum
nsubj< include	1.0	0.753	adaptation_comment	Chordate__phylum
nsubj<obj>amod> white	1.0	0.326	adaptation_comment	Chordate__phylum
nsubj<obj> shark	1.0	0.183	adaptation_comment	Chordate__phylum
nsubj<obj>conj> whale	1.0	0.505	adaptation_comment	Chordate__phylum
nsubj<advcl<nsubj> this	1.0	0.384	adaptation_comment	Chordate__phylum
nsubj<advcl<cop> be	1.0	0.58	adaptation_comment	Chordate__phylum
nsubj<amod> great	1.0	0.168	adaptation_comment	Chordate__phylum
nsubj< shark	1.0	0.485	adaptation_comment	Chordate__phylum
det> another	1.0	0.818	adaptation_comment	Chordate__phylum
nsubj<mark> as	1.0	0.368	adaptation_comment	Chordate__phylum
amod> many	1.0	1.128	adaptation_comment	Chordate__phylum
nmod>case> such	1.0	0.677	adaptation_comment	Chordate__phylum
nmod>case>fixed> as	1.0	0.324	adaptation_comment	Chordate__phylum
nmod>conj> shark	1.0	0.443	adaptation_comment	Chordate__phylum
nsubj< have	1.0	0.71	adaptation_comment	Chordate__phylum
parataxis>nsubj> which	1.0	0.624	adaptation_comment	Chordate__phylum
appos>det> a	1.0	0.341	adaptation_comment	Chordate__phylum
nmod<cop> be	1.0	0.171	adaptation_comment	Chordate__phylum
nmod<amod>advmod> most	1.0	0.305	adaptation_comment	Chordate__phylum
amod> large	1.0	1.156	adaptation_comment	Chordate__phylum
advcl>mark> as	1.0	0.265	adaptation_comment	Chordate__phylum
nmod<nmod>case> of	1.0	0.33	adaptation_comment	Chordate__phylum
nmod<det> the	1.0	0.644	adaptation_comment	Chordate__phylum
nmod<conj>cc> and	1.0	0.284	adaptation_comment	Chordate__phylum
nmod<conj>cop> be	1.0	0.538	adaptation_comment	Chordate__phylum
nmod<nmod:poss> they	1.0	0.283	adaptation_comment	Chordate__phylum
nmod> area	1.0	0.313	adaptation_comment	Chordate__phylum
nmod>nmod>det> the	1.0	0.241	adaptation_comment	Chordate__phylum
nmod<obj<mark> to	1.0	0.347	adaptation_comment	Chordate__phylum
appos<conj>cc> and	1.0	0.518	adaptation_comment	Chordate__phylum
obl<advcl<cop> be	1.0	0.668	adaptation_comment	Chordate__phylum
nmod>case> like	1.0	0.728	adaptation_comment	Chordate__phylum
nsubj<obj>det> a	1.0	0.389	adaptation_comment	Chordate__phylum
nmod<obj< see	1.0	0.598	adaptation_comment	Chordate__phylum
compound<case> as	1.0	0.346	adaptation_comment	Chordate__phylum
nmod<det> some	1.0	0.595	adaptation_comment	Chordate__phylum
compound<case> of	1.0	0.34	adaptation_comment	Chordate__phylum
nmod>conj>amod> Permian	1.0	0.459	adaptation_comment	Chordate__phylum
nmod>conj> period	1.0	0.441	adaptation_comment	Chordate__phylum
conj>nmod>det> the	1.0	0.332	adaptation_comment	Chordate__phylum
appos>nmod>case> from	1.0	0.447	adaptation_comment	Chordate__phylum
appos>conj>cc> and	1.0	0.527	adaptation_comment	Chordate__phylum
conj>nsubj>det> the	1.0	0.479	adaptation_comment	Chordate__phylum
conj>obl>case> in	1.0	0.315	adaptation_comment	Chordate__phylum
nmod<case> for	1.0	0.645	adaptation_comment	Chordate__phylum
nsubj> they	1.0	0.412	adaptation_comment	Chordate__phylum
parataxis> have	1.0	0.459	adaptation_comment	Chordate__phylum
obj<parataxis<cop> be	1.0	0.449	adaptation_comment	Chordate__phylum
case> such	1.0	0.801	adaptation_comment	Chordate__phylum
case>fixed> as	1.0	0.304	adaptation_comment	Chordate__phylum
obj<advcl<cop> be	1.0	0.238	adaptation_comment	Chordate__phylum
