s	p	o
Alliaceae#family	rdf:type	wo:Family
Alliaceae#name	rdf:type	wo:TaxonName
Alligatoridae#family	rdf:type	wo:Family
Alligatoridae#family	wo:genus	Caiman_genus#genus
Alligatoridae#family	wo:genus	n:life#genus
Alligatoridae#name	rdf:type	wo:TaxonName
Allosauridae#family	rdf:type	wo:Family
Allosauridae#family	wo:genus	Allosaurus#genus
Amaryllidaceae#family	rdf:type	wo:Family
Ambulocetidae#family	rdf:type	wo:Family
Ambulocetidae#family	wo:genus	Ambulocetus#genus
Anatidae#family	rdf:type	wo:Family
Anatidae#family	wo:genus	Aix_genus#genus
Anatidae#family	wo:genus	Anas#genus
Anatidae#family	wo:genus	Anser_genus#genus
Anatidae#family	wo:genus	Branta#genus
Anatidae#family	wo:genus	Chen_genus#genus
Anatidae#family	wo:genus	Eider#genus
Anatidae#family	wo:genus	Goldeneye_duck#genus
Anatidae#family	wo:genus	Swan#genus
Anatidae#name	rdf:type	wo:TaxonName
Anchovy#family	rdf:type	wo:Family
Anguidae#family	rdf:type	wo:Family
Anostostomatidae#family	rdf:type	wo:Family
Anostostomatidae#family	wo:genus	Giant_weta#genus
Ant#family	rdf:type	wo:Family
Ant#family	wo:genus	Atta_genus#genus
Ant#family	wo:genus	Cataglyphis#genus
Ant#family	wo:genus	Eciton#genus
Ant#family	wo:genus	Formica#genus
Ant#family	wo:genus	Lasius#genus
Antilocapridae#family	rdf:type	wo:Family
Ant#name	rdf:type	wo:TaxonName
Aphididae#name	rdf:type	wo:TaxonName
Apidae#family	rdf:type	wo:Family
Apidae#family	wo:genus	Amegilla#genus
Apidae#family	wo:genus	Bumblebee#genus
Apidae#family	wo:genus	n:life#genus
Apidae#name	rdf:type	wo:TaxonName
Apocynaceae#family	rdf:type	wo:Family
Araceae#family	rdf:type	wo:Family
Arctiidae#name	rdf:type	wo:TaxonName
Arowana#family	rdf:type	wo:Family
Asiatic_salamander#family	rdf:type	wo:Family
Asparagaceae#family	rdf:type	wo:Family
Asparagaceae#name	rdf:type	wo:TaxonName
Astacidae#family	rdf:type	wo:Family
