taxon	group	level
Physeteridae#family	Cetacea#order	order
Picathartidae#family	Passerine#order	order
Pieridae#family	Lepidoptera#order	order
Pinaceae#family	Plant#kingdom	kingdom
Pitheciidae#family	Primate#order	order
Ploceidae#family	Passerine#order	order
Poaceae#family	Monocotyledon#class	class
Porpoise#family	Cetacea#order	order
Procellariidae#family	Bird#class	class
Procyonidae#family	Carnivora#order	order
Protoceratopsid#family	Dinosaur#superorder	superorder
Prunellidae#family	Passerine#order	order
Pseudorhyncocyonidae#family	Mammal#class	class
Rallidae#family	Bird#class	class
Rauisuchidae#family	Reptile#class	class
Recurvirostridae#family	Charadriiformes#order	order
Regulidae#family	Passerine#order	order
Requiem_shark#family	Chordate#phylum	phylum
Rhabdodontidae#family	Dinosaur#superorder	superorder
Rhinoceros#family	Mammal#class	class
Rhizophoraceae#family	Dicotyledon#class	class
Rhynochetidae#family	Bird#class	class
River_kingfishers#family	Bird#class	class
Rorqual#family	Cetacea#order	order
Rosaceae#family	Dicotyledon#class	class
Rynchopidae#family	Charadriiformes#order	order
Salamandridae#family	Amphibian#class	class
Salmonidae#family	Actinopterygii#class	class
Scansoriopterygidae#family	Theropoda#suborder	suborder
Scathophagidae#family	Insect#class	class
Sciuridae#family	Rodent#order	order
Sea_snake#family	Snake#suborder	suborder
Sea_turtle#family	Reptile#class	class
Sepiidae#family	Mollusca#phylum	phylum
Shrew#family	Mammal#class	class
Silphidae#family	Insect#class	class
Sparrow#family	Passerine#order	order
Sphingidae#family	Lepidoptera#order	order
Spinosauridae#family	Theropoda#suborder	suborder
Starling#family	Passerine#order	order
Stegosauridae#family	Dinosaur#superorder	superorder
Stickleback#family	Actinopterygii#class	class
Stone-curlew#family	Charadriiformes#order	order
Stork#family	Bird#class	class
Storm-petrel#family	Bird#class	class
Strongylocentrotidae#family	Animal#kingdom	kingdom
Suidae#family	Even-toed_ungulate#order	order
Sulidae#family	Bird#class	class
Swallow#family	Passerine#order	order
Swallowtail_butterfly#family	Lepidoptera#order	order
Swift#family	Bird#class	class
Sylviidae#family	Passerine#order	order
Syngnathidae#family	Actinopterygii#class	class
Talpidae#family	Mammal#class	class
Tarantula#family	Arthropod#phylum	phylum
Tarsiidae#family	Primate#order	order
Taxaceae#family	Plant#kingdom	kingdom
Tern#family	Charadriiformes#order	order
Therizinosauridae#family	Theropoda#suborder	suborder
Threskiornithidae#family	Bird#class	class
Thrush_bird#family	Passerine#order	order
Titanosauridae#family	Dinosaur#superorder	superorder
Tit_bird#family	Passerine#order	order
Tortoise#family	Reptile#class	class
Treecreeper#family	Passerine#order	order
Triisodontidae#family	Mammal#class	class
Troglodytidae#family	Passerine#order	order
True_frog#family	Amphibian#class	class
True_owl#family	Bird#class	class
True_parrots#family	Bird#class	class
True_toad#family	Amphibian#class	class
Tyrannosauridae#family	Theropoda#suborder	suborder
Tytonidae#family	Bird#class	class
Ulmaceae#family	Dicotyledon#class	class
Ulmaridae#family	Animal#kingdom	kingdom
Umbrella_octopus#family	Mollusca#phylum	phylum
Urticaceae#family	Dicotyledon#class	class
Varanidae#family	Lizard#suborder	suborder
Vesper_bat#family	Bat#order	order
Vespidae#family	Hymenoptera#order	order
Violaceae#family	Dicotyledon#class	class
Viperidae#family	Snake#suborder	suborder
Wolf_spider#family	Arthropod#phylum	phylum
Woodpecker#family	Bird#class	class
Acanthaster#genus	Animal#kingdom	kingdom
Accentor#genus	Passerine#order	order
Accipiter#genus	Accipitridae#family	family
Acinonyx#genus	Carnivora#order	order
Acrocephalus#genus	Passerine#order	order
Aegithalos#genus	Passerine#order	order
Aesculus#genus	Dicotyledon#class	class
Aeshna#genus	Insect#class	class
Ailuropoda#genus	Carnivora#order	order
Aix_genus#genus	Bird#class	class
Alauda#genus	Passerine#order	order
Alcedo#genus	Bird#class	class
Alectoris#genus	Bird#class	class
Alliums#genus	Monocotyledon#class	class
Amorphophallus#genus	Monocotyledon#class	class
Anas#genus	Bird#class	class
Andrias#genus	Amphibian#class	class
Anguis#genus	Lizard#suborder	suborder
Anser_genus#genus	Bird#class	class
Antaresia#genus	Snake#suborder	suborder
Anthropoides#genus	Bird#class	class
Antilocapra#genus	Even-toed_ungulate#order	order
Antilope#genus	Bovid#family	family
Apatura#genus	Lepidoptera#order	order
Apodemus#genus	Rodent#order	order
Aptenodytes#genus	Bird#class	class
Apus_genus#genus	Bird#class	class
Aquila_genus#genus	Accipitridae#family	family
Araneus#genus	Arthropod#phylum	phylum
Arctocephalus#genus	Carnivora#order	order
Ardea_genus#genus	Bird#class	class
Argynnis#genus	Lepidoptera#order	order
Asio#genus	Bird#class	class
Astrochelys#genus	Reptile#class	class
Atelopus#genus	Amphibian#class	class
Athene_owl#genus	Bird#class	class
Aurelia_genus#genus	Animal#kingdom	kingdom
Austropotamobius#genus	Arthropod#phylum	phylum
Avocet#genus	Charadriiformes#order	order
Baboon#genus	Primate#order	order
Balaena#genus	Cetacea#order	order
Balaeniceps#genus	Bird#class	class
Balaenoptera#genus	Cetacea#order	order
Bamboo_lemur#genus	Primate#order	order
Banded_penguin#genus	Bird#class	class
Beaver#genus	Rodent#order	order
Beech#genus	Dicotyledon#class	class
Boa_genus#genus	Snake#suborder	suborder
Boiga#genus	Snake#suborder	suborder
Bos#genus	Bovid#family	family
Botaurus#genus	Bird#class	class
Bothriechis#genus	Snake#suborder	suborder
Bothrops#genus	Snake#suborder	suborder
Bottlenose_dolphin#genus	Cetacea#order	order
Bradypodion#genus	Lizard#suborder	suborder
Branta#genus	Bird#class	class
Bubalus#genus	Bovid#family	family
Bumblebee#genus	Hymenoptera#order	order
Burhinus#genus	Charadriiformes#order	order
Buteo#genus	Accipitridae#family	family
Cacatua#genus	Bird#class	class
Caiman_genus#genus	Reptile#class	class
Calopteryx#genus	Insect#class	class
Camel#genus	Even-toed_ungulate#order	order
Campephilus#genus	Bird#class	class
Canis#genus	Carnivora#order	order
Capra_genus#genus	Bovid#family	family
Capreolus#genus	Even-toed_ungulate#order	order
Caprimulgus#genus	Bird#class	class
Capuchin_monkey#genus	Primate#order	order
Carduelis#genus	Passerine#order	order
Cataglyphis#genus	Hymenoptera#order	order
Catopuma#genus	Carnivora#order	order
Certhia#genus	Passerine#order	order
Cervus#genus	Even-toed_ungulate#order	order
Cetorhinus#genus	Chordate#phylum	phylum
Charadrius#genus	Charadriiformes#order	order
Chelonia#genus	Reptile#class	class
Chen_genus#genus	Bird#class	class
Chimpanzee#genus	Primate#order	order
Chough#genus	Passerine#order	order
Cicinnurus#genus	Passerine#order	order
Coccinella#genus	Insect#class	class
Coelodonta#genus	Mammal#class	class
Columba_genus#genus	Bird#class	class
Common_dolphin#genus	Cetacea#order	order
Conolophus#genus	Lizard#suborder	suborder
Coot#genus	Bird#class	class
Cormorant#genus	Bird#class	class
Coronella#genus	Snake#suborder	suborder
Corvus_genus#genus	Passerine#order	order
Crataegus#genus	Dicotyledon#class	class
Crested_penguin#genus	Bird#class	class
Crocodylus#genus	Reptile#class	class
Crocuta#genus	Carnivora#order	order
Crossbill#genus	Passerine#order	order
Cryptomys#genus	Rodent#order	order
Cryptoprocta#genus	Carnivora#order	order
Culicoides#genus	Insect#class	class
Cyanistes#genus	Passerine#order	order
Cyanopsitta#genus	Bird#class	class
Dama#genus	Even-toed_ungulate#order	order
Damaliscus#genus	Bovid#family	family
Dendrocopos#genus	Bird#class	class
Desmodus#genus	Bat#order	order
Dipper#genus	Passerine#order	order
Dytiscus#genus	Insect#class	class
Echis#genus	Snake#suborder	suborder
Eciton#genus	Hymenoptera#order	order
Egretta#genus	Bird#class	class
Eider#genus	Bird#class	class
Elm#genus	Dicotyledon#class	class
Emberiza#genus	Passerine#order	order
Engraulis#genus	Actinopterygii#class	class
Epidalea#genus	Amphibian#class	class
Eptesicus#genus	Bat#order	order
Equus_genus#genus	Mammal#class	class
Erinaceus#genus	Mammal#class	class
Erithacus#genus	Passerine#order	order
Erythrocebus#genus	Primate#order	order
Eumetopias#genus	Carnivora#order	order
Euophrys#genus	Arthropod#phylum	phylum
Euphydryas#genus	Lepidoptera#order	order
Eurycea#genus	Amphibian#class	class
Falcon#genus	Bird#class	class
Felis#genus	Carnivora#order	order
Ficedula#genus	Passerine#order	order
Flamingo#genus	Bird#class	class
Formica#genus	Hymenoptera#order	order
Fringilla#genus	Passerine#order	order
Fritillaria#genus	Monocotyledon#class	class
Fulmar#genus	Bird#class	class
Furcifer#genus	Lizard#suborder	suborder
Gadfly_petrel#genus	Bird#class	class
Galidictis#genus	Carnivora#order	order
Gannet#genus	Bird#class	class
Garrulus#genus	Passerine#order	order
Gasterosteus#genus	Actinopterygii#class	class
